"","V1","Finished","Jag_Assoc_Group","Jag_Assoc","ID_JagAvg","ID_JagCom","ID_JagOverlap","ID_JagAttach","ID_JagBelong","ID_JagValue","ID_JagImportant","ID_iupuiAvg","ID_iupuiCom","ID_iupuiOverlap","ID_iupuiAttach","ID_iupuiBelong","ID_iupuiValue","ID_iupuiImportant","Jag_feelingsAvg","Jag_feelings_overall","Jag_feelings_pleasant","Jag_feelings_attractive","Future_part","Future_donate","Age","Gender","Race","iupuiStatus","iupuiStatus_value","iupuiStatus_other","Employment","Zip"
"29",29,1,"No Involvement","8",4,5,5,5,5,2,2,1,1,1,1,1,1,1,6.1,6.1,6.3,5.9,5,3,41,"Male","2","Undergraduate","Senior","","Full-Time Employed","46037"
"30",30,1,"No Involvement","8",3,2,2,2,4,4,4,5.33,6,4,5,7,5,5,3.67,4,4,3,2,3,21,"Female","1","Undergraduate","Junior","","Part-Time Employed","46074"
"31",31,1,"No Involvement","3,8",1.67,3,2,1,1,1,2,6,7,5,7,7,5,5,4.33,4,4,5,3,2,21,"Female","1","Undergraduate","Senior","","Part-Time Employed","46204"
"32",32,1,"No Involvement","3,8",1,1,1,1,1,1,1,6.17,7,6,6,6,6,6,3.8,4,4,3.4,2,1,32,"Male","1","Graduate","Graduate","","Full-Time Student","46202"
"33",33,1,"No Involvement","3,8",2.17,2,4,1,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,2,21,"Female","6","Undergraduate","Senior","","Full-Time Student","46176"
"34",34,1,"No Involvement","3",2,2,2,2,2,2,2,5.33,6,6,5,5,5,5,5,5,5,5,5,2,22,"Female","7","Undergraduate","Senior","","Full-Time Employed","46033"
"35",35,1,"High Involvement","2,4,5",3.83,7,6,7,1,1,1,3.33,7,5,3,3,1,1,2.53,3.8,1.8,2,2,1,20,"Female","1","Other","Other","","Full-Time Student","46123"
"36",36,1,"No Involvement","8",1,1,1,1,1,1,1,3.33,2,2,4,4,4,4,1.1,1.1,1.1,1.1,1,1,23,"Male","4","Undergraduate","Senior","","Full-Time Student","46202"
"37",37,1,"No Involvement","3",1,1,1,1,1,1,1,5.5,6,3,7,7,7,3,4.13,3.2,5.1,4.1,6,5,24,"Female","4","Graduate","Graduate","","Part-Time Student","46202"
"38",38,1,"No Involvement","8",2,2,2,2,2,2,2,3.33,6,2,4,4,2,2,5.9,7,4.9,5.8,4,5,24,"Female","1","Other","Other","Alumni","Full-Time Employed","46143"
"39",39,1,"No Involvement","8",1.5,1,1,1,2,2,2,4.83,6,6,5,5,5,2,3.97,4,4.2,3.7,1,1,34,"Female","1","Other","Other","","Full-Time Employed","85268"
"40",40,1,"No Involvement","8",1,1,1,1,1,1,1,6.83,7,7,7,7,7,6,5.6,4.9,6.2,5.7,5,5,26,"Male","3","Graduate","Graduate","","Part-Time Student","46204"
"41",41,1,"No Involvement","8",2,2,2,2,2,2,2,4.33,5,3,5,5,4,4,4,3.5,5,3.5,3,5,26,"Female","4","Graduate","Graduate","","Full-Time Student","46202"
"42",42,1,"No Involvement","3",3.83,4,4,3,4,4,4,5.17,6,5,5,5,5,5,4.07,4,4.1,4.1,5,3,27,"Female","1","Graduate","Graduate","","Full-Time Student","46201"
"43",43,1,"High Involvement","2,4",6.67,6,6,7,7,7,7,7,7,7,7,7,7,7,4.33,5,4,4,4,4,24,"Female","1","Graduate","Graduate","","Full-Time Student","46202"
"44",44,1,"No Involvement","3",4.33,5,5,4,4,4,4,7,7,7,7,7,7,7,4,4,4,4,4,4,21,"Male","4","Undergraduate","Junior","","Full-Time Student","46227"
"45",45,1,"No Involvement","3,8",1,1,1,1,1,1,1,7,7,7,7,7,7,7,4,4,4,4,2,3,33,"Male","1,7","Undergraduate","Senior","","Part-Time Student","46176"
"46",46,1,"No Involvement","8",1,1,1,1,1,1,1,4.83,4,5,5,5,5,5,3.5,4,3.8,2.7,1,4,25,"Male","4","Graduate","Graduate","","Part-Time Student","46202"
"47",47,1,"No Involvement","3,8",1,1,1,1,1,1,1,7,7,7,7,7,7,7,3.97,4,4,3.9,1,2,33,"Male","1,7","Undergraduate","Senior","","Part-Time Student","46176"
"48",48,1,"No Involvement","3",4,4,5,3,4,4,4,7,7,7,7,7,7,7,6.7,7,7,6.1,6,6,20,"Female","1","Undergraduate","Sophomore","","Full-Time Student","46202"
"49",49,1,"Some Involvement","1",5.67,6,6,5,6,5,6,7,7,7,7,7,7,7,6.87,7,6.9,6.7,7,7,20,"Female","6","Undergraduate","Sophomore","","Full-Time Student","46239"
"50",50,1,"No Involvement","8",1.67,1,1,2,2,2,2,4.33,6,2,6,4,4,4,4,4,4,4,2,4,24,"Female","1","Graduate","Graduate","","Full-Time Student","46216"
"51",51,1,"No Involvement","8",2,2,2,2,2,2,2,6.17,6,6,7,6,6,6,5.37,4.6,6.4,5.1,2,3,21,"Female","1","Undergraduate","Junior","","Part-Time Employed","46208"
"52",52,1,"No Involvement","8",1,1,1,1,1,1,1,7,7,7,7,7,7,7,1.07,1.2,1,1,1,1,23,"Female","1","Graduate","Professional","","Full-Time Student","46074"
"53",53,1,"No Involvement","8",1,1,1,1,1,1,1,2.17,3,6,1,1,1,1,4,4,4,4,1,4,25,"Female","1","Graduate","Professional","","Full-Time Student","46033"
"54",54,1,"No Involvement","3",2.5,4,2,2,1,4,2,5.67,6,4,5,7,6,6,3.5,3.5,3.5,3.5,6,4,18,"Female","6","Undergraduate","Freshman","","Part-Time Student","46323"
"55",55,1,"No Involvement","3",3.83,5,5,5,4,2,2,6.17,7,6,6,6,6,6,6,6,6.2,5.8,6,6,19,"Female","1","Undergraduate","Sophomore","","Full-Time Student","46202"
"56",56,1,"No Involvement","8",1,1,1,1,1,1,1,3.5,6,3,2,3,3,4,4.03,4,4,4.1,2,1,24,"Female","1","Graduate","Graduate","","Full-Time Student","46204"
"57",57,1,"No Involvement","3",1,1,1,1,1,1,1,3.67,5,2,4,2,4,5,4.5,4,5.5,4,1,5,24,"Female","1","Graduate","Professional","","Full-Time Student","46201"
"58",58,1,"No Involvement","8",1.83,2,2,2,2,2,1,3.5,5,4,4,4,2,2,4,4,4,4,4,1,24,"Female","1","Graduate","Professional","","Part-Time Employed","46220"
"59",59,1,"No Involvement","3",4,4,4,4,4,4,4,5.67,6,4,6,6,6,6,3.8,3.9,3.8,3.7,4,6,20,"Female","6","Undergraduate","Sophomore","","Full-Time Student","46222"
"60",60,1,"No Involvement","3",3.83,4,5,4,4,4,2,4.83,7,5,5,5,4,3,4.9,5,4.9,4.8,5,5,19,"Female","1","Undergraduate","Sophomore","","Full-Time Student","46217"
"61",61,1,"No Involvement","8",1.33,1,2,2,1,1,1,3.17,2,2,3,2,5,5,4.23,3.6,5.5,3.6,1,1,26,"Female","1","Graduate","Professional","","Full-Time Student","46234"
"62",62,1,"Some Involvement","1",4,4,4,4,4,4,4,5,6,5,6,4,4,5,4.87,4.6,5.2,4.8,5,4,20,"Female","1","Undergraduate","Sophomore","","Full-Time Student","46936"
"63",63,1,"No Involvement","8",1.17,1,1,1,1,2,1,4,4,4,2,5,4,5,4.13,4.5,3.7,4.2,1,1,22,"Female","1","Undergraduate","Senior","","Full-Time Student","46112"
"64",64,1,"Some Involvement","1",5,6,4,4,6,5,5,6,6,6,6,6,6,6,6.3,6.1,6.5,6.3,6,5,19,"Male","1","Undergraduate","Sophomore","","Full-Time Student","46204"
"65",65,1,"No Involvement","3,8",1.67,1,4,1,2,1,1,4.67,6,4,4,5,4,5,5.57,6.2,6.2,4.3,1,3,22,"Female","1","Undergraduate","Senior","","Full-Time Student","46202"
"66",66,1,"No Involvement","3,8",1.5,1,4,1,1,1,1,2.67,5,1,2,3,4,1,4.13,4.2,4.2,4,4,2,22,"Male","1","Undergraduate","Junior","","Full-Time Student","46074"
"67",67,1,"No Involvement","8",2,1,4,1,4,1,1,2.17,6,1,2,1,1,2,7,7,7,7,4,4,21,"Male","1","Undergraduate","Junior","","Full-Time Student","46052"
"68",68,1,"No Involvement","3",4.5,5,6,4,4,4,4,5.67,7,6,6,6,4,5,6.03,5.9,6.1,6.1,6,6,20,"Female","6","Undergraduate","Sophomore","","Full-Time Student","46202"
"69",69,1,"No Involvement","8",4,4,4,4,4,4,4,4.5,6,5,4,4,4,4,4.37,4,4,5.1,5,6,18,"Female","4","Undergraduate","Freshman","","Unemployed","46202"
"70",70,1,"No Involvement","3,8",2.33,1,3,2,2,3,3,5.67,5,6,6,5,6,6,5.67,5.9,6,5.1,2,5,19,"Female","1","Undergraduate","Sophomore","","Full-Time Student","46060"
"71",71,1,"No Involvement","3,8",2,2,2,2,2,2,2,5.17,6,5,5,5,5,5,5.13,5.1,5.1,5.2,5,5,18,"Female","1,4","Undergraduate","Freshman","","Full-Time Student","46256"
"72",72,1,"No Involvement","3",4,4,4,2,6,4,4,5.5,6,5,6,6,5,5,7,7,7,7,6,6,19,"Female","1","Undergraduate","Freshman","","Full-Time Student","46202"
"73",73,1,"No Involvement","8",2.17,2,3,2,2,2,2,6,6,6,6,6,6,6,4.67,5.1,4,4.9,4,4,26,"Female","1","Undergraduate","Junior","","Full-Time Student","46113"
"74",74,1,"No Involvement","3",2,2,2,2,2,2,2,4.83,5,4,5,5,5,5,4.2,3.5,4.7,4.4,4,2,19,"Female","1","Undergraduate","Freshman","","Full-Time Student","46385"
"75",75,1,"No Involvement","8",2,2,2,2,2,2,2,5.17,7,4,5,5,5,5,4.07,4.1,4,4.1,5,2,38,"Female","1","Undergraduate","Junior","","Part-Time Student","46239"
"76",76,1,"No Involvement","8",2,2,2,2,2,2,2,4.67,1,3,6,6,6,6,2,1.9,2.1,2,5,3,20,"Male","1","Undergraduate","Sophomore","","Unemployed","46202"
"77",77,1,"No Involvement","3",3.67,4,3,2,5,4,4,6.17,6,6,7,6,6,6,1,1,1,1,5,6,22,"Female","1","Undergraduate","Senior","","Part-Time Employed","46130"
"78",78,1,"No Involvement","8",2,2,2,2,2,2,2,3.83,3,4,4,5,4,3,5,5,5,5,4,3,22,"Female","1","Undergraduate","Junior","","Full-Time Student","46033"
"79",79,1,"No Involvement","8",3,4,4,1,4,4,1,3.83,7,1,4,6,4,1,4.03,4,4,4.1,4,7,23,"Female","1,2","Undergraduate","Sophomore","","Full-Time Employed","46214"
"80",80,1,"No Involvement","8",1,1,1,1,1,1,1,4.83,6,4,4,5,5,5,4,4,4,4,1,1,23.5,"Female","1","Undergraduate","Junior","","Part-Time Employed","again, why 🤨"
"81",81,1,"No Involvement","3",3.67,3,3,5,5,3,3,7,7,7,7,7,7,7,6.4,6.1,6.1,7,5,7,21,"Female","1","Undergraduate","Junior","","Full-Time Student","47725"
"82",82,1,"Some Involvement","2",7,7,7,7,7,7,7,6,6,6,7,7,5,5,7,7,7,7,7,7,22,"Male","1,2","Undergraduate","Senior","","Full-Time Student","46202"
"83",83,1,"No Involvement","3",3.67,2,4,4,4,4,4,2.67,2,2,3,1,4,4,6.93,6.9,6.9,7,4,4,20,"Female","1","Undergraduate","Junior","","Full-Time Student","46040"
"84",84,1,"High Involvement","2,4,6,7",5.83,7,5,6,6,5,6,6.5,7,7,7,7,6,5,7,7,7,7,7,7,22,"Female","1","Other","Other","Alumni","Full-Time Student","46205"
"85",85,1,"High Involvement","1,2,3,4,7",6.17,7,2,7,7,7,7,6.17,7,2,7,7,7,7,7,7,7,7,7,7,23,"Female","1","Graduate","Professional","","Full-Time Employed","46221"
"86",86,1,"Some Involvement","2",4,6,4,3,4,3,4,5,6,4,5,5,5,5,3.8,3.6,3.5,4.3,4,5,23,"Female","1,6","Graduate","Graduate","","Full-Time Employed","47041"
"87",87,1,"High Involvement","1,2,3,4,6,7",7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5.8,5.9,6.3,7,7,23,"Female","1","Graduate","Graduate","","Full-Time Student","46202"
"88",88,1,"High Involvement","1,2,3,4,7",6.33,7,7,6,7,6,5,4.5,6,3,5,5,5,3,7,7,7,7,7,7,24,"Female","1","Graduate","Graduate","","Full-Time Student","49007"
"89",89,1,"High Involvement","2,4,7",6.5,7,6,7,7,6,6,4.5,6,5,6,5,3,2,6.67,7,7,6,7,7,24,"Male","4","Other","Other","Alumni","Part-Time Employed","46033"
"90",90,1,"High Involvement","1,2,3,4,6,7",6.17,7,6,6,6,6,6,5.83,6,5,6,6,6,6,6.67,7,7,6,7,7,22,"Female","1,6","Other","Other","","Full-Time Employed","60657"
