Finished,Jag_Assoc_Group,Jag_Assoc,ID_JagAvg,ID_JagCom,ID_JagOverlap,ID_JagAttach,ID_JagBelong,ID_JagValue,ID_JagImportant,ID_iupuiAvg,ID_iupuiCom,ID_iupuiOverlap,ID_iupuiAttach,ID_iupuiBelong,ID_iupuiValue,ID_iupuiImportant,Jag_feelingsAvg,Jag_feelings_overall,Jag_feelings_pleasant,Jag_feelings_attractive,Future_part,Future_donate,Age,Gender,Race,iupuiStatus,iupuiStatus_other,Employment,Zip
1,1,8,4.00,4,4,4,4,4,4,4.00,4,4,4,4,4,4,4.00,4,4,4,4,4,23.5,1,7,5,,4,12345
1,1,8,4.00,5,5,5,5,2,2,1.00,1,1,1,1,1,1,6.10,6.1,6.3,5.9,5,3,41,1,2,4,,4,46037
1,1,8,3.00,2,2,2,4,4,4,5.33,6,4,5,7,5,5,3.67,4,4,3,2,3,21,2,1,3,,3,46074
1,1,"3,8",1.67,3,2,1,1,1,2,6.00,7,5,7,7,5,5,4.33,4,4,5,3,2,21,2,1,4,,3,46204
1,1,"3,8",1.00,1,1,1,1,1,1,6.17,7,6,6,6,6,6,3.80,4,4,3.4,2,1,32,1,1,5,,2,46202
1,1,"3,8",2.17,2,4,1,4,1,1,4.00,4,4,4,4,4,4,4.00,4,4,4,4,2,21,2,6,4,,2,46176
1,1,3,2.00,2,2,2,2,2,2,5.33,6,6,5,5,5,5,5.00,5,5,5,5,2,22,2,7,4,,4,46033
1,3,"2,4,5",3.83,7,6,7,1,1,1,3.33,7,5,3,3,1,1,2.53,3.8,1.8,2,2,1,20,2,1,9,,2,46123
1,1,8,1.00,1,1,1,1,1,1,3.33,2,2,4,4,4,4,1.10,1.1,1.1,1.1,1,1,23,1,4,4,,2,46202
1,1,3,1.00,1,1,1,1,1,1,5.50,6,3,7,7,7,3,4.13,3.2,5.1,4.1,6,5,24,2,4,5,,1,46202
1,1,8,2.00,2,2,2,2,2,2,3.33,6,2,4,4,2,2,5.90,7,4.9,5.8,4,5,24,2,1,9,Alumni,4,46143
1,1,8,1.50,1,1,1,2,2,2,4.83,6,6,5,5,5,2,3.97,4,4.2,3.7,1,1,34,2,1,9,,4,85268
1,1,8,1.00,1,1,1,1,1,1,6.83,7,7,7,7,7,6,5.60,4.9,6.2,5.7,5,5,26,1,3,5,,1,46204
1,1,8,2.00,2,2,2,2,2,2,4.33,5,3,5,5,4,4,4.00,3.5,5,3.5,3,5,26,2,4,5,,2,46202
1,1,3,3.83,4,4,3,4,4,4,5.17,6,5,5,5,5,5,4.07,4,4.1,4.1,5,3,27,2,1,5,,2,46201
1,3,"2,4",6.67,6,6,7,7,7,7,7.00,7,7,7,7,7,7,4.33,5,4,4,4,4,24,2,1,5,,2,46202
1,1,3,4.33,5,5,4,4,4,4,7.00,7,7,7,7,7,7,4.00,4,4,4,4,4,21,1,4,3,,2,46227
1,1,"3,8",1.00,1,1,1,1,1,1,7.00,7,7,7,7,7,7,4.00,4,4,4,2,3,33,1,"1,7",4,,1,46176
1,1,8,1.00,1,1,1,1,1,1,4.83,4,5,5,5,5,5,3.50,4,3.8,2.7,1,4,25,1,4,5,,1,46202
1,1,"3,8",1.00,1,1,1,1,1,1,7.00,7,7,7,7,7,7,3.97,4,4,3.9,1,2,33,1,"1,7",4,,1,46176
1,1,3,4.00,4,5,3,4,4,4,7.00,7,7,7,7,7,7,6.70,7,7,6.1,6,6,20,2,1,2,,2,46202
1,2,1,5.67,6,6,5,6,5,6,7.00,7,7,7,7,7,7,6.87,7,6.9,6.7,7,7,20,2,6,2,,2,46239
1,1,8,1.67,1,1,2,2,2,2,4.33,6,2,6,4,4,4,4.00,4,4,4,2,4,24,2,1,5,,2,46216
1,1,8,2.00,2,2,2,2,2,2,6.17,6,6,7,6,6,6,5.37,4.6,6.4,5.1,2,3,21,2,1,3,,3,46208
1,1,8,1.00,1,1,1,1,1,1,7.00,7,7,7,7,7,7,1.07,1.2,1,1,1,1,23,2,1,6,,2,46074
1,1,8,1.00,1,1,1,1,1,1,2.17,3,6,1,1,1,1,4.00,4,4,4,1,4,25,2,1,6,,2,46033
1,1,3,2.50,4,2,2,1,4,2,5.67,6,4,5,7,6,6,3.50,3.5,3.5,3.5,6,4,18,2,6,1,,1,46323
1,1,3,3.83,5,5,5,4,2,2,6.17,7,6,6,6,6,6,6.00,6,6.2,5.8,6,6,19,2,1,2,,2,46202
1,1,8,1.00,1,1,1,1,1,1,3.50,6,3,2,3,3,4,4.03,4,4,4.1,2,1,24,2,1,5,,2,46204
1,1,3,1.00,1,1,1,1,1,1,3.67,5,2,4,2,4,5,4.50,4,5.5,4,1,5,24,2,1,6,,2,46201
1,1,8,1.83,2,2,2,2,2,1,3.50,5,4,4,4,2,2,4.00,4,4,4,4,1,24,2,1,6,,3,46220
1,1,3,4.00,4,4,4,4,4,4,5.67,6,4,6,6,6,6,3.80,3.9,3.8,3.7,4,6,20,2,6,2,,2,46222
1,1,3,3.83,4,5,4,4,4,2,4.83,7,5,5,5,4,3,4.90,5,4.9,4.8,5,5,19,2,1,2,,2,46217
1,1,8,1.33,1,2,2,1,1,1,3.17,2,2,3,2,5,5,4.23,3.6,5.5,3.6,1,1,26,2,1,6,,2,46234
1,2,1,4.00,4,4,4,4,4,4,5.00,6,5,6,4,4,5,4.87,4.6,5.2,4.8,5,4,20,2,1,2,,2,46936
1,1,8,1.17,1,1,1,1,2,1,4.00,4,4,2,5,4,5,4.13,4.5,3.7,4.2,1,1,22,2,1,4,,2,46112
1,2,1,5.00,6,4,4,6,5,5,6.00,6,6,6,6,6,6,6.30,6.1,6.5,6.3,6,5,19,1,1,2,,2,46204
1,1,"3,8",1.67,1,4,1,2,1,1,4.67,6,4,4,5,4,5,5.57,6.2,6.2,4.3,1,3,22,2,1,4,,2,46202
1,1,"3,8",1.50,1,4,1,1,1,1,2.67,5,1,2,3,4,1,4.13,4.2,4.2,4,4,2,22,1,1,3,,2,46074
1,1,8,2.00,1,4,1,4,1,1,2.17,6,1,2,1,1,2,7.00,7,7,7,4,4,21,1,1,3,,2,46052
1,1,3,4.50,5,6,4,4,4,4,5.67,7,6,6,6,4,5,6.03,5.9,6.1,6.1,6,6,20,2,6,2,,2,46202
1,1,8,4.00,4,4,4,4,4,4,4.50,6,5,4,4,4,4,4.37,4,4,5.1,5,6,18,2,4,1,,5,46202
1,1,"3,8",2.33,1,3,2,2,3,3,5.67,5,6,6,5,6,6,5.67,5.9,6,5.1,2,5,19,2,1,2,,2,46060
1,1,"3,8",2.00,2,2,2,2,2,2,5.17,6,5,5,5,5,5,5.13,5.1,5.1,5.2,5,5,18,2,"1,4",1,,2,46256
1,1,3,4.00,4,4,2,6,4,4,5.50,6,5,6,6,5,5,7.00,7,7,7,6,6,19,2,1,1,,2,46202
1,1,8,2.17,2,3,2,2,2,2,6.00,6,6,6,6,6,6,4.67,5.1,4,4.9,4,4,26,2,1,3,,2,46113
1,1,3,2.00,2,2,2,2,2,2,4.83,5,4,5,5,5,5,4.20,3.5,4.7,4.4,4,2,19,2,1,1,,2,46385
1,1,8,2.00,2,2,2,2,2,2,5.17,7,4,5,5,5,5,4.07,4.1,4,4.1,5,2,38,2,1,3,,1,46239
1,1,8,2.00,2,2,2,2,2,2,4.67,1,3,6,6,6,6,2.00,1.9,2.1,2,5,3,20,1,1,2,,5,46202
1,1,3,3.67,4,3,2,5,4,4,6.17,6,6,7,6,6,6,1.00,1,1,1,5,6,22,2,1,4,,3,46130
1,1,8,2.00,2,2,2,2,2,2,3.83,3,4,4,5,4,3,5.00,5,5,5,4,3,22,2,1,3,,2,46033
1,1,8,3.00,4,4,1,4,4,1,3.83,7,1,4,6,4,1,4.03,4,4,4.1,4,7,23,2,"1,2",2,,4,46214
1,1,8,1.00,1,1,1,1,1,1,4.83,6,4,4,5,5,5,4.00,4,4,4,1,1,23.5,2,1,3,,3,"again, why 🤨"
1,1,3,3.67,3,3,5,5,3,3,7.00,7,7,7,7,7,7,6.40,6.1,6.1,7,5,7,21,2,1,3,,2,47725
1,2,2,7.00,7,7,7,7,7,7,6.00,6,6,7,7,5,5,7.00,7,7,7,7,7,22,1,"1,2",4,,2,46202
1,1,3,3.67,2,4,4,4,4,4,2.67,2,2,3,1,4,4,6.93,6.9,6.9,7,4,4,20,2,1,3,,2,46040
1,3,"2,4,6,7",5.83,7,5,6,6,5,6,6.50,7,7,7,7,6,5,7.00,7,7,7,7,7,22,2,1,9,Alumni,2,46205
1,3,"1,2,3,4,7",6.17,7,2,7,7,7,7,6.17,7,2,7,7,7,7,7.00,7,7,7,7,7,23,2,1,6,,4,46221
1,2,2,4.00,6,4,3,4,3,4,5.00,6,4,5,5,5,5,3.80,3.6,3.5,4.3,4,5,23,2,"1,6",5,,4,47041
1,3,"1,2,3,4,6,7",7.00,7,7,7,7,7,7,7.00,7,7,7,7,7,7,6.00,5.8,5.9,6.3,7,7,23,2,1,5,,2,46202
1,3,"1,2,3,4,7",6.33,7,7,6,7,6,5,4.50,6,3,5,5,5,3,7.00,7,7,7,7,7,24,2,1,5,,2,49007
1,3,"2,4,7",6.50,7,6,7,7,6,6,4.50,6,5,6,5,3,2,6.67,7,7,6,7,7,24,1,4,9,Alumni,3,46033
1,3,"1,2,3,4,6,7",6.17,7,6,6,6,6,6,5.83,6,5,6,6,6,6,6.67,7,7,6,7,7,22,2,"1,6",9,,4,60657
